resolution,emotions,people,tries,time
10,12,13,6,42.9963901
10,12,14,6,45.9764364
10,12,15,6,51.2838197
10,12,16,6,56.4405093
10,12,17,6,62.4286513
10,12,18,6,68.2344664
10,12,19,6,72.850283
10,12,2,8,10.3978594
10,12,20,6,78.240205
10,12,21,6,85.4777376
10,12,22,6,89.9497847
10,12,23,6,100.9641478
10,12,24,6,110.1732038
10,12,25,6,114.511361
10,12,26,4,79.9639113
10,12,27,4,87.0544638
10,12,28,4,99.1709317
10,12,29,4,101.1438909
10,12,3,8,11.033126
10,12,30,4,98.7422071
10,12,31,4,109.8334038
10,12,32,4,124.2274427
10,12,33,2,66.0639163
10,12,34,2,105.1564067
10,12,35,2,1246.3729051
10,12,36,2,1761.4960761
10,12,37,2,2045.1033849
10,12,38,2,2454.7967472
10,12,4,8,17.5248835
10,12,5,8,20.3348062
10,12,6,20,53.6643882
10,12,7,20,63.7164124
10,12,8,20,75.4763812
10,12,9,20,86.2258379
10,13,10,20,115.4835898
10,13,11,6,38.2389887
10,13,12,6,42.3943759
10,13,13,6,47.0095875
10,13,14,6,52.8853719
10,13,15,6,59.0998456
10,13,16,6,62.1679142
10,13,17,6,70.6776249
10,13,18,6,74.3522897
10,13,19,6,84.4864938
10,13,2,8,22.6045416
10,13,20,6,89.1699322
10,13,21,6,93.1665389
10,13,22,6,103.675748
10,13,23,6,114.2531019
10,13,24,6,118.3697038
10,13,25,6,127.4399278
10,13,26,4,90.9531703
10,13,27,4,95.7943285
10,13,28,4,102.4542243
10,13,29,4,102.9923068
10,13,3,8,13.2986128
10,13,30,4,116.8832148
10,13,31,4,126.0735365
10,13,32,4,130.2721537
10,13,33,2,69.0352856
10,13,34,2,101.4338418
10,13,35,2,809.5574456
10,13,36,2,1764.1232327
10,13,37,2,2116.0499369
10,13,38,2,2517.9109395
10,13,4,8,17.3338642
10,13,5,8,20.4871113
10,13,6,20,61.451348
10,13,7,20,75.5059449
10,13,8,20,85.0340323
10,13,9,20,98.5474987
10,14,10,2,13.1151738
10,14,11,2,13.9878382
10,14,12,2,15.7252167
10,14,13,2,17.2508498
10,14,14,2,18.6428731
10,14,15,2,21.2993885
10,14,16,2,23.0477284
10,14,17,2,25.4791126
10,14,18,2,27.6545429
10,14,19,2,29.6856299
10,14,2,2,3.0616454
10,14,20,2,32.8217274
10,14,21,2,68.3453648
10,14,22,2,72.130652
10,14,23,2,76.1416372
10,14,24,2,81.665013
10,14,25,2,87.1473244
10,14,26,2,47.391144
10,14,27,2,49.6787361
10,14,28,2,54.5906424
10,14,29,2,60.4221511
10,14,3,2,3.9681201
10,14,30,2,62.6590384
10,14,31,2,67.8756465
10,14,32,2,72.3273846
10,14,33,2,74.1021499
10,14,34,2,87.3579064
10,14,35,2,129.7742197
10,14,36,2,2151.3405943
10,14,37,2,2484.6666455
10,14,38,2,2820.6261985
10,14,4,2,5.0576486
10,14,5,2,6.0216719
10,14,6,2,7.2623466
10,14,7,2,8.503913
10,14,8,2,9.9869146
10,14,9,2,11.6902177
10,2,2,8,0.5198708
10,3,2,8,1.0315156
10,4,2,8,1.4840449
10,4,3,8,2.3568025
10,4,4,8,2.9401538
10,5,10,20,30.8047336
10,5,11,6,10.9685613
10,5,12,6,12.941113
10,5,13,6,14.0586396
10,5,14,6,16.6220574
10,5,15,6,17.6407997
10,5,2,8,2.4498863
10,5,3,8,3.4870112
10,5,4,8,4.6671844
10,5,5,8,5.0936879
10,5,6,20,15.860277
10,5,7,20,19.5742182
10,5,8,20,23.7257083
10,5,9,20,26.5390576
10,6,10,20,38.7712187
10,6,11,6,13.1073221
10,6,12,6,15.1451191
10,6,13,6,18.3038489
10,6,14,6,18.7385887
10,6,15,6,21.0041137
10,6,16,6,23.401246
10,6,2,8,3.4178942
10,6,3,8,4.3941907
10,6,4,8,5.6814689
10,6,5,8,6.8158028
10,6,6,20,20.0685035
10,6,7,20,24.370272
10,6,8,20,29.4359095
10,6,9,20,33.6092179
10,7,10,20,47.4034415
10,7,11,6,16.790777
10,7,12,6,18.401718
10,7,13,6,20.4307785
10,7,14,6,23.2799169
10,7,15,6,25.7903296
10,7,16,6,28.7724738
10,7,17,6,31.1472611
10,7,18,6,34.6622512
10,7,19,6,36.7242519
10,7,2,8,4.0702643
10,7,3,8,5.0200284
10,7,4,8,6.961363
10,7,5,8,8.2309428
10,7,6,20,25.1849378
10,7,7,20,30.466986
10,7,8,20,37.0757798
10,7,9,20,42.3521388
10,8,10,20,55.8442362
10,8,11,6,19.2447093
10,8,12,6,22.304573
10,8,13,6,24.3241337
10,8,14,6,27.581634
10,8,15,6,30.9532351
10,8,16,6,33.7678174
10,8,17,6,40.3426789
10,8,18,6,40.2393243
10,8,19,6,43.1564766
