resolution,emotions,people,tries,time
4,14,80,2,23.5805394
4,14,9,2,2.3915288
5,14,10,2,3.3506886
5,14,11,2,2.9788626
5,14,12,2,3.3210714
5,14,13,2,3.6475182
5,14,14,2,3.9559345
5,14,15,2,4.299598
5,14,16,2,4.6295978
5,14,17,2,4.9563706
5,14,18,2,5.1684704
5,14,19,2,5.6325418
5,14,2,2,0.7672402
5,14,20,2,5.9594906
5,14,21,2,6.0480596
5,14,22,2,6.3777456
5,14,23,2,6.7440218
5,14,24,2,7.0594396
5,14,25,2,7.4725167
5,14,26,2,7.8672266
5,14,27,2,8.2452993
5,14,28,2,8.5959943
5,14,29,2,9.0142297
5,14,3,2,1.0289998
5,14,30,2,9.3769246
5,14,31,2,9.7242604
5,14,32,2,10.1375085
5,14,33,2,10.4769677
5,14,34,2,10.8892167
5,14,35,2,11.3036179
5,14,36,2,11.7150643
5,14,37,2,12.1390488
5,14,38,2,12.5975791
5,14,39,2,13.06005
5,14,4,2,1.4708956
5,14,40,2,13.4578105
5,14,41,2,14.2093621
5,14,42,2,14.6359106
5,14,43,2,15.1405745
5,14,44,2,15.5688465
5,14,45,2,16.0339324
5,14,46,2,16.5054635
5,14,47,2,16.8940104
5,14,48,2,17.5421654
5,14,49,2,17.9093938
5,14,5,2,1.8183422
5,14,50,2,18.3821236
5,14,51,2,19.0055258
5,14,52,2,19.32411
5,14,53,2,20.1790398
5,14,54,2,20.5838128
5,14,55,2,21.1611923
5,14,56,2,21.1640817
5,14,57,2,21.6197877
5,14,58,2,22.1434972
5,14,59,2,22.6148537
5,14,6,2,2.178208
5,14,60,2,23.2496338
5,14,61,2,24.0482452
5,14,62,2,24.5340242
5,14,63,2,25.2080892
5,14,64,2,25.465295
5,14,65,2,26.4482567
5,14,66,2,26.6615596
5,14,67,2,27.1618207
5,14,68,2,27.9797173
5,14,69,2,28.5247232
5,14,7,2,2.4453728
5,14,70,2,29.2932825
5,14,71,2,30.2106046
5,14,72,2,30.5998102
5,14,73,2,30.8907706
5,14,74,2,31.3882158
5,14,75,2,32.3012495
5,14,76,2,35.7442846
5,14,77,2,76.3562252
5,14,78,2,74.500892
5,14,79,2,76.3003655
5,14,8,2,2.8859105
5,14,80,2,77.8406281
5,14,9,2,3.1162266
6,14,10,2,5.6777214
6,14,11,2,5.2171476
6,14,12,2,6.0442527
6,14,13,2,8.3156257
6,14,14,2,11.920917
6,14,15,2,8.9780191
6,14,16,2,9.6654906
6,14,17,2,8.4399003
6,14,18,2,7.2412354
6,14,19,2,9.421815
6,14,2,2,0.8831816
6,14,20,2,8.0648638
6,14,21,2,8.8438173
6,14,22,2,10.2009994
6,14,23,2,10.4606112
6,14,24,2,10.6528084
6,14,25,2,11.8290172
6,14,26,2,11.7455141
6,14,27,2,12.1247294
6,14,28,2,12.3085606
6,14,29,2,12.6475545
6,14,3,2,1.1732595
6,14,30,2,13.3460827
6,14,31,2,13.9771296
6,14,32,2,14.6182078
6,14,33,2,15.0794105
6,14,34,2,15.761232
6,14,35,2,16.4003867
6,14,36,2,16.8885992
6,14,37,2,17.6503759
6,14,38,2,18.7047933
6,14,39,2,18.9159954
6,14,4,2,1.9663369
6,14,40,2,19.4751146
6,14,41,2,20.264354
6,14,42,2,21.0126962
6,14,43,2,21.6566658
6,14,44,2,22.658742
6,14,45,2,23.2512936
6,14,46,2,23.8579472
6,14,47,2,24.4957286
6,14,48,2,25.1066616
6,14,49,2,26.0446105
6,14,5,2,2.9120214
6,14,50,2,27.0410327
6,14,51,2,27.7007863
6,14,52,2,28.7675584
6,14,53,2,29.2666176
6,14,54,2,30.0630417
6,14,55,2,30.9351602
6,14,56,2,31.8679387
6,14,57,2,32.9927696
6,14,58,2,34.6470003
6,14,59,2,34.8195143
6,14,6,2,3.4297843
6,14,60,2,35.8759627
6,14,61,2,36.6585177
6,14,62,2,37.6597341
6,14,63,2,39.195836
6,14,64,2,40.4690707
6,14,65,2,41.220283
6,14,66,2,41.9362138
6,14,67,2,42.835799
6,14,68,2,44.0918361
6,14,69,2,44.8323249
6,14,7,2,3.8416333
6,14,70,2,46.2394382
6,14,71,2,93.1611442
6,14,72,2,95.7052614
6,14,73,2,96.8337061
6,14,74,2,99.2125542
6,14,75,2,101.4640207
6,14,76,2,103.0599459
6,14,77,2,105.5243954
6,14,78,2,108.805125
6,14,79,2,109.4018908
6,14,8,2,4.6657059
6,14,80,2,112.6597077
6,14,9,2,5.4582383
7,14,10,2,5.4138649
7,14,11,2,5.1265116
7,14,12,2,5.6786976
7,14,13,2,6.2102642
7,14,14,2,6.8927308
7,14,15,2,7.5225928
7,14,16,2,8.2022503
7,14,17,2,8.6780073
7,14,18,2,9.4631698
7,14,19,2,10.3311037
7,14,2,2,1.6197191
7,14,20,2,10.8743376
7,14,21,2,11.474866
7,14,22,2,12.2521602
7,14,23,2,13.1306739
7,14,24,2,13.8191624
7,14,25,2,14.4753563
7,14,26,2,15.450529
7,14,27,2,16.5125631
7,14,28,2,17.528928
7,14,29,2,18.4004386
7,14,3,2,2.3073558
7,14,30,2,19.1935065
7,14,31,2,20.3491715
7,14,32,2,21.1941401
7,14,33,2,22.2439124
7,14,34,2,23.2622341
